Time,Light,Location,Behaviour
6.68,,,
6.72,,,
6.76,,,
6.8,,,
6.84,,,
6.88,,,
6.92,,,
6.96,,,
7,,,
7.04,,,
7.08,,,
7.12,,,
7.16,,,
7.2,,,
7.24,,,
7.28,,,
7.32,,,
7.36,,,
7.4,,,
7.44,,,
7.48,,,
7.52,,,
7.56,,,
7.6,,,
7.64,,,
7.68,,,
7.72,,,
7.76,,,
7.8,,,
7.84,,,
7.88,,,
7.92,,,
7.96,,,
8,,,
8.04,,,
8.08,,,
8.12,,,
8.16,,,
8.2,,,
8.24,,,
8.28,,,
8.32,,,
8.36,,,
8.4,,,
8.44,,,
8.48,,,
8.52,,,
8.56,,,
8.6,,,
8.64,,,
8.68,,,
8.72,,,
8.76,,,
8.8,,,
8.84,,,
8.88,,,
8.92,,,
8.96,,,
9,,,
9.04,,,
9.08,,,
9.12,,,
9.16,,,
9.2,,,
9.24,,,
9.28,,,
9.32,,,
9.36,,,
9.4,,,
9.44,,,
9.48,,,
9.52,,,
9.56,,,
9.6,,,
9.64,,,
9.68,,,
9.72,,,
9.76,,,
9.8,,,
9.84,,,
9.88,,,
9.92,,,
9.96,,,
10,,,
10.04,,,
10.08,,,
10.12,,,
10.16,,,
10.2,,,
10.24,,,
10.28,,,
10.32,,,
10.36,,,
10.4,,,
10.44,,,
10.48,,,
10.52,,,
10.56,,,
10.6,,,
10.64,,,
10.68,,,
10.72,,,
10.76,,,
10.8,,,
10.84,,,
10.88,Off,FarCorridor,locomotion
10.92,Off,FarCorridor,locomotion
10.96,Off,FarCorridor,locomotion
11,Off,FarCorridor,locomotion
11.04,Off,FarCorridor,locomotion
11.08,Off,FarCorridor,locomotion
11.12,Off,FarCorridor,locomotion
11.16,Off,FarCorridor,locomotion
11.2,Off,FarCorridor,locomotion
11.24,Off,FarCorridor,locomotion
11.28,Off,FarCorridor,locomotion
11.32,Off,FarCorridor,locomotion
11.36,Off,FarCorridor,locomotion
11.4,Off,FarCorridor,locomotion
11.44,Off,FarCorridor,locomotion
11.48,Off,FarCorridor,locomotion
11.52,Off,FarCorridor,locomotion
11.56,Off,FarCorridor,locomotion
11.6,Off,FarCorridor,locomotion
11.64,Off,FarCorridor,locomotion
11.68,Off,FarCorridor,locomotion
11.72,Off,FarCorridor,locomotion
11.76,Off,FarCorridor,locomotion
11.8,Off,FarCorridor,locomotion
11.84,Off,FarCorridor,locomotion
11.88,Off,FarCorridor,locomotion
11.92,Off,FarCorridor,locomotion
11.96,Off,FarCorridor,locomotion
12,Off,FarCorridor,locomotion
12.04,Off,FarCorridor,locomotion
12.08,Off,FarCorridor,locomotion
12.12,Off,FarCorridor,locomotion
12.16,Off,FarCorridor,locomotion
12.2,Off,FarCorridor,locomotion
12.24,Off,FarCorridor,locomotion
12.28,Off,FarCorridor,locomotion
12.32,Off,FarCorridor,locomotion
12.36,Off,FarCorridor,locomotion
12.4,Off,FarCorridor,locomotion
12.44,Off,FarCorridor,locomotion
12.48,Off,FarCorridor,locomotion
12.52,Off,FarCorridor,locomotion
12.56,Off,FarCorridor,locomotion
12.6,Off,FarCorridor,locomotion
12.64,Off,FarCorridor,locomotion
12.68,Off,FarCorridor,locomotion
12.72,Off,CloseCorridor,locomotion
12.76,Off,CloseCorridor,locomotion
12.8,Off,CloseCorridor,locomotion
12.84,Off,CloseCorridor,locomotion
12.88,Off,CloseCorridor,locomotion
12.92,Off,CloseCorridor,locomotion
12.96,Off,CloseCorridor,locomotion
13,Off,CloseCorridor,locomotion
13.04,Off,CloseCorridor,locomotion
13.08,Off,CloseCorridor,locomotion
13.12,Off,CloseCorridor,locomotion
13.16,Off,CloseCorridor,locomotion
13.2,Off,CloseCorridor,locomotion
13.24,Off,CloseCorridor,locomotion
13.28,Off,CloseCorridor,locomotion
13.32,Off,CloseCorridor,locomotion
13.36,Off,CloseCorridor,locomotion
13.4,Off,CloseCorridor,locomotion
13.44,Off,CloseCorridor,locomotion
13.48,Off,CloseCorridor,locomotion
13.52,Off,CloseCorridor,locomotion
13.56,Off,CloseCorridor,locomotion
13.6,Off,CloseCorridor,locomotion
13.64,Off,CloseCorridor,locomotion
13.68,Off,CloseCorridor,locomotion
13.72,Off,CloseCorridor,locomotion
13.76,Off,CloseCorridor,ConspecificInvestigation
13.8,Off,CloseCorridor,ConspecificInvestigation
13.84,Off,CloseCorridor,ConspecificInvestigation
13.88,Off,CloseCorridor,ConspecificInvestigation
13.92,Off,CloseCorridor,ConspecificInvestigation
13.96,Off,CloseCorridor,ConspecificInvestigation
14,Off,CloseCorridor,ConspecificInvestigation
14.04,Off,CloseCorridor,ConspecificInvestigation
14.08,Off,CloseCorridor,ConspecificInvestigation
14.12,Off,CloseCorridor,ConspecificInvestigation
14.16,Off,CloseCorridor,ConspecificInvestigation
14.2,Off,CloseCorridor,ConspecificInvestigation
14.24,Off,CloseCorridor,ConspecificInvestigation
14.28,Off,CloseCorridor,ConspecificInvestigation
14.32,Off,CloseCorridor,ConspecificInvestigation
14.36,Off,CloseCorridor,ConspecificInvestigation
14.4,Off,CloseCorridor,ConspecificInvestigation
14.44,Off,CloseCorridor,ConspecificInvestigation
14.48,Off,CloseCorridor,ConspecificInvestigation
14.52,Off,CloseCorridor,ConspecificInvestigation
14.56,Off,CloseCorridor,ConspecificInvestigation
14.6,Off,CloseCorridor,ConspecificInvestigation
14.64,Off,CloseCorridor,ConspecificInvestigation
14.68,Off,CloseCorridor,ConspecificInvestigation
14.72,Off,CloseCorridor,ConspecificInvestigation
14.76,Off,CloseCorridor,ConspecificInvestigation
14.8,Off,CloseCorridor,ConspecificInvestigation
14.84,Off,CloseCorridor,ConspecificInvestigation
14.88,Off,CloseCorridor,ConspecificInvestigation
14.92,Off,CloseCorridor,ConspecificInvestigation
14.96,Off,CloseCorridor,ConspecificInvestigation
15,Off,CloseCorridor,ConspecificInvestigation
15.04,Off,CloseCorridor,ConspecificInvestigation
15.08,Off,CloseCorridor,ConspecificInvestigation
15.12,Off,CloseCorridor,ConspecificInvestigation
15.16,Off,CloseCorridor,ConspecificInvestigation
15.2,Off,CloseCorridor,ConspecificInvestigation
15.24,Off,CloseCorridor,ConspecificInvestigation
15.28,Off,CloseCorridor,ConspecificInvestigation
15.32,Off,CloseCorridor,ConspecificInvestigation
15.36,Off,CloseCorridor,ConspecificInvestigation
15.4,Off,CloseCorridor,ConspecificInvestigation
15.44,Off,CloseCorridor,ConspecificInvestigation
15.48,Off,CloseCorridor,ConspecificInvestigation
15.52,Off,CloseCorridor,ConspecificInvestigation
15.56,Off,CloseCorridor,ConspecificInvestigation
15.6,Off,CloseCorridor,ConspecificInvestigation
15.64,Off,CloseCorridor,ConspecificInvestigation
15.68,Off,CloseCorridor,ConspecificInvestigation
15.72,Off,CloseCorridor,ConspecificInvestigation
15.76,Off,CloseCorridor,ConspecificInvestigation
15.8,Off,CloseCorridor,ConspecificInvestigation
15.84,Off,CloseCorridor,ConspecificInvestigation
15.88,Off,CloseCorridor,ConspecificInvestigation
15.92,Off,CloseCorridor,ConspecificInvestigation
15.96,Off,CloseCorridor,ConspecificInvestigation
16,Off,CloseCorridor,ConspecificInvestigation
16.04,Off,CloseCorridor,ConspecificInvestigation
16.08,Off,CloseCorridor,ConspecificInvestigation
16.12,Off,CloseCorridor,ConspecificInvestigation
16.16,Off,CloseCorridor,ConspecificInvestigation
16.2,Off,CloseCorridor,ConspecificInvestigation
16.24,Off,CloseCorridor,ConspecificInvestigation
16.28,Off,CloseCorridor,ConspecificInvestigation
16.32,Off,CloseCorridor,ConspecificInvestigation
16.36,Off,CloseCorridor,ConspecificInvestigation
16.4,Off,CloseCorridor,ConspecificInvestigation
16.44,Off,CloseCorridor,ConspecificInvestigation
16.48,Off,CloseCorridor,ConspecificInvestigation
16.52,Off,CloseCorridor,ConspecificInvestigation
16.56,Off,CloseCorridor,ConspecificInvestigation
16.6,Off,CloseCorridor,ConspecificInvestigation
16.64,Off,CloseCorridor,ConspecificInvestigation
16.68,Off,CloseCorridor,ConspecificInvestigation
16.72,Off,CloseCorridor,ConspecificInvestigation
16.76,Off,CloseCorridor,ConspecificInvestigation
16.8,Off,CloseCorridor,ConspecificInvestigation
16.84,Off,CloseCorridor,ConspecificInvestigation
16.88,Off,CloseCorridor,ConspecificInvestigation
16.92,Off,CloseCorridor,ConspecificInvestigation
16.96,Off,CloseCorridor,ConspecificInvestigation
17,Off,CloseCorridor,ConspecificInvestigation
17.04,Off,CloseCorridor,ConspecificInvestigation
17.08,Off,CloseCorridor,ConspecificInvestigation
17.12,Off,CloseCorridor,ConspecificInvestigation
17.16,Off,CloseCorridor,ConspecificInvestigation
17.2,Off,CloseCorridor,ConspecificInvestigation
17.24,Off,CloseCorridor,ConspecificInvestigation
17.28,Off,CloseCorridor,ConspecificInvestigation
17.32,Off,CloseCorridor,ConspecificInvestigation
17.36,Off,CloseCorridor,ConspecificInvestigation
17.4,Off,CloseCorridor,ConspecificInvestigation
17.44,Off,CloseCorridor,ConspecificInvestigation
17.48,Off,CloseCorridor,ConspecificInvestigation
17.52,Off,CloseCorridor,ConspecificInvestigation
17.56,Off,CloseCorridor,ConspecificInvestigation
17.6,Off,CloseCorridor,ConspecificInvestigation
17.64,Off,CloseCorridor,ConspecificInvestigation
17.68,Off,CloseCorridor,ConspecificInvestigation
17.72,Off,CloseCorridor,ConspecificInvestigation
17.76,Off,CloseCorridor,ConspecificInvestigation
17.8,Off,CloseCorridor,ConspecificInvestigation
17.84,Off,CloseCorridor,ConspecificInvestigation
17.88,Off,CloseCorridor,ConspecificInvestigation
17.92,Off,CloseCorridor,ConspecificInvestigation
17.96,Off,CloseCorridor,ConspecificInvestigation
18,Off,CloseCorridor,ConspecificInvestigation
18.04,Off,CloseCorridor,ConspecificInvestigation
18.08,Off,CloseCorridor,ConspecificInvestigation
18.12,Off,CloseCorridor,ConspecificInvestigation
18.16,Off,CloseCorridor,ConspecificInvestigation
18.2,Off,CloseCorridor,ConspecificInvestigation
18.24,Off,CloseCorridor,ConspecificInvestigation
18.28,Off,CloseCorridor,ConspecificInvestigation
18.32,Off,CloseCorridor,ConspecificInvestigation
18.36,Off,CloseCorridor,ConspecificInvestigation
18.4,Off,CloseCorridor,ConspecificInvestigation
18.44,Off,CloseCorridor,ConspecificInvestigation
18.48,Off,CloseCorridor,ConspecificInvestigation
18.52,Off,CloseCorridor,ConspecificInvestigation
18.56,Off,CloseCorridor,ConspecificInvestigation
18.6,Off,CloseCorridor,ConspecificInvestigation
18.64,Off,CloseCorridor,ConspecificInvestigation
18.68,Off,CloseCorridor,ConspecificInvestigation
18.72,Off,CloseCorridor,ConspecificInvestigation
18.76,Off,CloseCorridor,ConspecificInvestigation
18.8,Off,CloseCorridor,ConspecificInvestigation
18.84,Off,CloseCorridor,ConspecificInvestigation
18.88,Off,CloseCorridor,ConspecificInvestigation
18.92,Off,CloseCorridor,ConspecificInvestigation
18.96,Off,CloseCorridor,ConspecificInvestigation
19,Off,CloseCorridor,ConspecificInvestigation
19.04,Off,CloseCorridor,ConspecificInvestigation
19.08,Off,CloseCorridor,ConspecificInvestigation
19.12,Off,CloseCorridor,ConspecificInvestigation
19.16,Off,CloseCorridor,ConspecificInvestigation
19.2,Off,CloseCorridor,ConspecificInvestigation
19.24,Off,CloseCorridor,ConspecificInvestigation
19.28,Off,CloseCorridor,ConspecificInvestigation
19.32,Off,CloseCorridor,ConspecificInvestigation
19.36,Off,CloseCorridor,ConspecificInvestigation
19.4,Off,CloseCorridor,ConspecificInvestigation
19.44,Off,CloseCorridor,ConspecificInvestigation
19.48,Off,CloseCorridor,ConspecificInvestigation
19.52,Off,CloseCorridor,ConspecificInvestigation
19.56,Off,CloseCorridor,ConspecificInvestigation
19.6,Off,CloseCorridor,ConspecificInvestigation
19.64,Off,CloseCorridor,ConspecificInvestigation
19.68,Off,CloseCorridor,ConspecificInvestigation
19.72,Off,CloseCorridor,ConspecificInvestigation
19.76,Off,CloseCorridor,ConspecificInvestigation
19.8,Off,CloseCorridor,ConspecificInvestigation
19.84,Off,CloseCorridor,ConspecificInvestigation
19.88,Off,CloseCorridor,ConspecificInvestigation
19.92,Off,CloseCorridor,ConspecificInvestigation
19.96,Off,CloseCorridor,ConspecificInvestigation
20,Off,CloseCorridor,ConspecificInvestigation
20.04,Off,CloseCorridor,ConspecificInvestigation
20.08,Off,CloseCorridor,ConspecificInvestigation
20.12,Off,CloseCorridor,ConspecificInvestigation
20.16,Off,CloseCorridor,ConspecificInvestigation
20.2,Off,CloseCorridor,ConspecificInvestigation
20.24,Off,CloseCorridor,ConspecificInvestigation
20.28,Off,CloseCorridor,ConspecificInvestigation
20.32,Off,CloseCorridor,ConspecificInvestigation
20.36,Off,CloseCorridor,ConspecificInvestigation
20.4,Off,CloseCorridor,ConspecificInvestigation
20.44,Off,CloseCorridor,ConspecificInvestigation
20.48,Off,CloseCorridor,ConspecificInvestigation
20.52,Off,CloseCorridor,ConspecificInvestigation
20.56,Off,CloseCorridor,ConspecificInvestigation
20.6,Off,CloseCorridor,ConspecificInvestigation
20.64,Off,CloseCorridor,ConspecificInvestigation
20.68,Off,CloseCorridor,ConspecificInvestigation
20.72,Off,CloseCorridor,ConspecificInvestigation
20.76,Off,CloseCorridor,ConspecificInvestigation
20.8,Off,CloseCorridor,ConspecificInvestigation
20.84,Off,CloseCorridor,ConspecificInvestigation
20.88,Off,CloseCorridor,ConspecificInvestigation
20.92,Off,CloseCorridor,ConspecificInvestigation
20.96,Off,CloseCorridor,ConspecificInvestigation
21,Off,CloseCorridor,ConspecificInvestigation
21.04,Off,CloseCorridor,ConspecificInvestigation
21.08,Off,CloseCorridor,ConspecificInvestigation
21.12,Off,CloseCorridor,ConspecificInvestigation
21.16,Off,CloseCorridor,ConspecificInvestigation
21.2,Off,CloseCorridor,ConspecificInvestigation
21.24,Off,CloseCorridor,ConspecificInvestigation
21.28,Off,CloseCorridor,ConspecificInvestigation
21.32,Off,CloseCorridor,ConspecificInvestigation
21.36,Off,CloseCorridor,ConspecificInvestigation
21.4,Off,CloseCorridor,ConspecificInvestigation
21.44,Off,CloseCorridor,ConspecificInvestigation
21.48,Off,CloseCorridor,ConspecificInvestigation
21.52,Off,CloseCorridor,ConspecificInvestigation
21.56,Off,CloseCorridor,ConspecificInvestigation
21.6,Off,CloseCorridor,ConspecificInvestigation
21.64,Off,CloseCorridor,ConspecificInvestigation
21.68,Off,CloseCorridor,ConspecificInvestigation
21.72,Off,CloseCorridor,ConspecificInvestigation
21.76,Off,CloseCorridor,ConspecificInvestigation
21.8,Off,CloseCorridor,ConspecificInvestigation
21.84,Off,CloseCorridor,ConspecificInvestigation
21.88,Off,CloseCorridor,ConspecificInvestigation
21.92,Off,CloseCorridor,ConspecificInvestigation
21.96,Off,CloseCorridor,ConspecificInvestigation
22,Off,CloseCorridor,ConspecificInvestigation
22.04,Off,CloseCorridor,ConspecificInvestigation
22.08,Off,CloseCorridor,ConspecificInvestigation
22.12,Off,CloseCorridor,ConspecificInvestigation
22.16,Off,CloseCorridor,ConspecificInvestigation
22.2,Off,CloseCorridor,ConspecificInvestigation
22.24,Off,CloseCorridor,ConspecificInvestigation
22.28,Off,CloseCorridor,ConspecificInvestigation
22.32,Off,CloseCorridor,ConspecificInvestigation
22.36,Off,CloseCorridor,ConspecificInvestigation
22.4,Off,CloseCorridor,ConspecificInvestigation
22.44,Off,CloseCorridor,ConspecificInvestigation
22.48,Off,CloseCorridor,ConspecificInvestigation
22.52,Off,CloseCorridor,ConspecificInvestigation
22.56,Off,CloseCorridor,ConspecificInvestigation
22.6,Off,CloseCorridor,ConspecificInvestigation
22.64,Off,CloseCorridor,ConspecificInvestigation
22.68,Off,CloseCorridor,ConspecificInvestigation
22.72,Off,CloseCorridor,ConspecificInvestigation
22.76,Off,CloseCorridor,ConspecificInvestigation
22.8,Off,CloseCorridor,ConspecificInvestigation
22.84,Off,CloseCorridor,ConspecificInvestigation
22.88,Off,CloseCorridor,ConspecificInvestigation
22.92,Off,CloseCorridor,ConspecificInvestigation
22.96,Off,CloseCorridor,ConspecificInvestigation
23,Off,CloseCorridor,ConspecificInvestigation
23.04,Off,CloseCorridor,ConspecificInvestigation
23.08,Off,CloseCorridor,ConspecificInvestigation
23.12,Off,CloseCorridor,ConspecificInvestigation
23.16,Off,CloseCorridor,ConspecificInvestigation
23.2,Off,CloseCorridor,locomotion
23.24,Off,CloseCorridor,locomotion
23.28,Off,CloseCorridor,locomotion
23.32,Off,CloseCorridor,locomotion
23.36,Off,CloseCorridor,locomotion
23.4,Off,CloseCorridor,locomotion
23.44,Off,CloseCorridor,locomotion
23.48,Off,CloseCorridor,locomotion
23.52,Off,CloseCorridor,locomotion
23.56,Off,CloseCorridor,locomotion
23.6,Off,CloseCorridor,locomotion
23.64,Off,CloseCorridor,locomotion
23.68,Off,CloseCorridor,locomotion
23.72,Off,CloseCorridor,locomotion
23.76,Off,CloseCorridor,locomotion
23.8,Off,CloseCorridor,locomotion
23.84,Off,CloseCorridor,locomotion
23.88,Off,CloseCorridor,locomotion
23.92,Off,CloseCorridor,locomotion
23.96,Off,CloseCorridor,locomotion
24,Off,CloseCorridor,locomotion
24.04,Off,CloseCorridor,locomotion
24.08,Off,CloseCorridor,locomotion
24.12,Off,CloseCorridor,locomotion
24.16,Off,CloseCorridor,locomotion
24.2,Off,CloseCorridor,locomotion
24.24,Off,CloseCorridor,locomotion
24.28,Off,CloseCorridor,locomotion
24.32,Off,CloseCorridor,locomotion
24.36,Off,CloseCorridor,locomotion
24.4,Off,CloseCorridor,locomotion
24.44,Off,CloseCorridor,locomotion
24.48,Off,CloseCorridor,locomotion
24.52,Off,CloseCorridor,locomotion
24.56,Off,CloseCorridor,locomotion
24.6,Off,CloseCorridor,locomotion
24.64,Off,FarCorridor,locomotion
24.68,Off,FarCorridor,locomotion
24.72,Off,FarCorridor,locomotion
24.76,Off,FarCorridor,locomotion
24.8,Off,FarCorridor,locomotion
24.84,Off,FarCorridor,locomotion
24.88,Off,FarCorridor,locomotion
24.92,Off,FarCorridor,locomotion
24.96,Off,FarCorridor,locomotion
25,Off,FarCorridor,locomotion
25.04,Off,FarCorridor,locomotion
25.08,Off,FarCorridor,locomotion
25.12,Off,FarCorridor,locomotion
25.16,Off,FarCorridor,locomotion
25.2,Off,FarCorridor,locomotion
25.24,Off,FarCorridor,locomotion
25.28,Off,FarCorridor,locomotion
25.32,Off,FarCorridor,locomotion
25.36,Off,FarCorridor,locomotion
25.4,Off,FarCorridor,locomotion
25.44,Off,FarCorridor,locomotion
25.48,Off,FarCorridor,locomotion
25.52,Off,FarCorridor,locomotion
25.56,Off,FarCorridor,locomotion
25.6,Off,FarCorridor,locomotion
25.64,Off,FarCorridor,locomotion
25.68,Off,FarCorridor,locomotion
25.72,Off,FarCorridor,locomotion
25.76,Off,FarCorridor,locomotion
25.8,Off,FarCorridor,locomotion
25.84,Off,FarCorridor,locomotion
25.88,Off,CloseCorridor,locomotion
25.92,Off,CloseCorridor,locomotion
25.96,Off,CloseCorridor,locomotion
26,Off,CloseCorridor,locomotion
26.04,Off,CloseCorridor,locomotion
26.08,Off,CloseCorridor,locomotion
26.12,Off,CloseCorridor,locomotion
26.16,Off,CloseCorridor,locomotion
26.2,Off,CloseCorridor,locomotion
26.24,Off,CloseCorridor,locomotion
26.28,Off,CloseCorridor,locomotion
26.32,Off,CloseCorridor,locomotion
26.36,Off,CloseCorridor,locomotion
26.4,Off,CloseCorridor,locomotion
26.44,Off,CloseCorridor,locomotion
26.48,Off,CloseCorridor,locomotion
26.52,Off,CloseCorridor,locomotion
26.56,Off,CloseCorridor,locomotion
26.6,Off,CloseCorridor,locomotion
26.64,Off,CloseCorridor,locomotion
26.68,Off,CloseCorridor,locomotion
26.72,Off,CloseCorridor,locomotion
26.76,Off,CloseCorridor,locomotion
26.8,Off,CloseCorridor,locomotion
26.84,Off,CloseCorridor,locomotion
26.88,Off,CloseCorridor,locomotion
26.92,Off,CloseCorridor,locomotion
26.96,Off,CloseCorridor,locomotion
27,Off,CloseCorridor,ConspecificInvestigation
27.04,Off,CloseCorridor,ConspecificInvestigation
27.08,Off,CloseCorridor,ConspecificInvestigation
27.12,Off,CloseCorridor,ConspecificInvestigation
27.16,Off,CloseCorridor,ConspecificInvestigation
27.2,Off,CloseCorridor,ConspecificInvestigation
27.24,Off,CloseCorridor,ConspecificInvestigation
27.28,Off,CloseCorridor,ConspecificInvestigation
27.32,Off,CloseCorridor,ConspecificInvestigation
27.36,Off,CloseCorridor,ConspecificInvestigation
27.4,Off,CloseCorridor,ConspecificInvestigation
27.44,Off,CloseCorridor,ConspecificInvestigation
27.48,Off,CloseCorridor,ConspecificInvestigation
27.52,Off,CloseCorridor,ConspecificInvestigation
27.56,Off,CloseCorridor,ConspecificInvestigation
27.6,Off,CloseCorridor,ConspecificInvestigation
27.64,Off,CloseCorridor,ConspecificInvestigation
27.68,Off,CloseCorridor,ConspecificInvestigation
27.72,Off,CloseCorridor,ConspecificInvestigation
27.76,Off,CloseCorridor,ConspecificInvestigation
27.8,Off,CloseCorridor,ConspecificInvestigation
27.84,Off,CloseCorridor,ConspecificInvestigation
27.88,Off,CloseCorridor,ConspecificInvestigation
27.92,Off,CloseCorridor,ConspecificInvestigation
27.96,Off,CloseCorridor,ConspecificInvestigation
28,Off,CloseCorridor,ConspecificInvestigation
28.04,Off,CloseCorridor,ConspecificInvestigation
28.08,Off,CloseCorridor,ConspecificInvestigation
28.12,Off,CloseCorridor,ConspecificInvestigation
28.16,Off,CloseCorridor,ConspecificInvestigation
28.2,Off,CloseCorridor,ConspecificInvestigation
28.24,Off,CloseCorridor,ConspecificInvestigation
28.28,Off,CloseCorridor,ConspecificInvestigation
28.32,Off,CloseCorridor,ConspecificInvestigation
28.36,Off,CloseCorridor,ConspecificInvestigation
28.4,Off,CloseCorridor,ConspecificInvestigation
28.44,Off,CloseCorridor,ConspecificInvestigation
28.48,Off,CloseCorridor,ConspecificInvestigation
28.52,Off,CloseCorridor,ConspecificInvestigation
28.56,Off,CloseCorridor,ConspecificInvestigation
28.6,Off,CloseCorridor,ConspecificInvestigation
28.64,Off,CloseCorridor,ConspecificInvestigation
28.68,Off,CloseCorridor,ConspecificInvestigation
28.72,Off,CloseCorridor,ConspecificInvestigation
28.76,Off,CloseCorridor,ConspecificInvestigation
28.8,Off,CloseCorridor,ConspecificInvestigation
28.84,Off,CloseCorridor,ConspecificInvestigation
28.88,Off,CloseCorridor,ConspecificInvestigation
28.92,Off,CloseCorridor,ConspecificInvestigation
28.96,Off,CloseCorridor,ConspecificInvestigation
29,Off,CloseCorridor,ConspecificInvestigation
29.04,Off,CloseCorridor,ConspecificInvestigation
29.08,Off,CloseCorridor,ConspecificInvestigation
29.12,Off,CloseCorridor,ConspecificInvestigation
29.16,Off,CloseCorridor,ConspecificInvestigation
29.2,Off,CloseCorridor,ConspecificInvestigation
29.24,Off,CloseCorridor,ConspecificInvestigation
29.28,Off,CloseCorridor,ConspecificInvestigation
29.32,Off,CloseCorridor,ConspecificInvestigation
29.36,Off,CloseCorridor,ConspecificInvestigation
29.4,Off,CloseCorridor,ConspecificInvestigation
29.44,Off,CloseCorridor,ConspecificInvestigation
29.48,Off,CloseCorridor,ConspecificInvestigation
29.52,Off,CloseCorridor,ConspecificInvestigation
29.56,Off,CloseCorridor,ConspecificInvestigation
29.6,Off,CloseCorridor,ConspecificInvestigation
29.64,Off,CloseCorridor,ConspecificInvestigation
29.68,Off,CloseCorridor,ConspecificInvestigation
29.72,Off,CloseCorridor,ConspecificInvestigation
29.76,Off,CloseCorridor,ConspecificInvestigation
29.8,Off,CloseCorridor,ConspecificInvestigation
29.84,Off,CloseCorridor,ConspecificInvestigation
29.88,Off,CloseCorridor,ConspecificInvestigation
29.92,Off,CloseCorridor,ConspecificInvestigation
29.96,Off,CloseCorridor,ConspecificInvestigation
30,Off,CloseCorridor,ConspecificInvestigation
30.04,Off,CloseCorridor,ConspecificInvestigation
30.08,Off,CloseCorridor,ConspecificInvestigation
30.12,Off,CloseCorridor,ConspecificInvestigation
30.16,Off,CloseCorridor,ConspecificInvestigation
30.2,Off,CloseCorridor,ConspecificInvestigation
30.24,Off,CloseCorridor,ConspecificInvestigation
30.28,Off,CloseCorridor,ConspecificInvestigation
30.32,Off,CloseCorridor,ConspecificInvestigation
30.36,Off,CloseCorridor,ConspecificInvestigation
30.4,Off,CloseCorridor,ConspecificInvestigation
30.44,Off,CloseCorridor,ConspecificInvestigation
30.48,Off,CloseCorridor,ConspecificInvestigation
30.52,Off,CloseCorridor,ConspecificInvestigation
30.56,Off,CloseCorridor,ConspecificInvestigation
30.6,Off,CloseCorridor,ConspecificInvestigation
30.64,Off,CloseCorridor,ConspecificInvestigation
30.68,Off,CloseCorridor,ConspecificInvestigation
30.72,Off,CloseCorridor,ConspecificInvestigation
30.76,Off,CloseCorridor,ConspecificInvestigation
30.8,Off,CloseCorridor,ConspecificInvestigation
30.84,Off,CloseCorridor,ConspecificInvestigation
30.88,Off,CloseCorridor,ConspecificInvestigation
30.92,Off,CloseCorridor,ConspecificInvestigation
30.96,Off,CloseCorridor,ConspecificInvestigation
31,Off,CloseCorridor,ConspecificInvestigation
31.04,Off,CloseCorridor,ConspecificInvestigation
31.08,Off,CloseCorridor,ConspecificInvestigation
31.12,Off,CloseCorridor,ConspecificInvestigation
31.16,Off,CloseCorridor,ConspecificInvestigation
